Gene stable ID	Transcript stable ID	GO term accession	GO term name	RefSeq peptide ID
AT1G18690	AT1G18690.4	GO:0033843	xyloglucan 6-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0005802	trans-Golgi network	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0005768	endosome	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0016757	transferase activity, transferring glycosyl groups	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0016740	transferase activity	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0016020	membrane	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0016021	integral component of membrane	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0005794	Golgi apparatus	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0000139	Golgi membrane	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0010411	xyloglucan metabolic process	NP_001319036.1
AT1G18690	AT1G18690.4	GO:0016758	transferase activity, transferring hexosyl groups	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0035252	UDP-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0009969	xyloglucan biosynthetic process	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0033843	xyloglucan 6-xylosyltransferase activity	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0005802	trans-Golgi network	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0005768	endosome	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0016757	transferase activity, transferring glycosyl groups	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0016740	transferase activity	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0016020	membrane	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0016021	integral component of membrane	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0005794	Golgi apparatus	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0000139	Golgi membrane	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0010411	xyloglucan metabolic process	NP_001319036.1
AT1G18690	AT1G18690.3	GO:0016758	transferase activity, transferring hexosyl groups	NP_001319036.1
AT1G36920	AT1G36920.2	GO:0008150	biological_process	NP_001319155.1
AT1G36920	AT1G36920.1	GO:0008150	biological_process	NP_001319155.1
AT1G36920	AT1G36920.3	GO:0008150	biological_process	NP_001319155.1
AT3G03800	AT3G03800.1	GO:0016020	membrane	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0016021	integral component of membrane	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0006886	intracellular protein transport	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0005484	SNAP receptor activity	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0016192	vesicle-mediated transport	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0061025	membrane fusion	NP_001319461.1
AT3G03800	AT3G03800.1	GO:0005622	intracellular	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0016020	membrane	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0016021	integral component of membrane	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0006886	intracellular protein transport	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0005886	plasma membrane	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0015031	protein transport	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0005484	SNAP receptor activity	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0016192	vesicle-mediated transport	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0061025	membrane fusion	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0012505	endomembrane system	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0000149	SNARE binding	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0006906	vesicle fusion	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0048278	vesicle docking	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0031201	SNARE complex	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0006887	exocytosis	NP_001319461.1
AT3G03800	AT3G03800.2	GO:0005622	intracellular	NP_001319461.1
AT3G14470	AT3G14470.2	GO:0000166	nucleotide binding	NP_001319549.1
AT3G14470	AT3G14470.2	GO:0005524	ATP binding	NP_001319549.1
AT3G14470	AT3G14470.2	GO:0043531	ADP binding	NP_001319549.1
AT3G14470	AT3G14470.2	GO:0006952	defense response	NP_001319549.1
AT3G14470	AT3G14470.2	GO:0005515	protein binding	NP_001319549.1
AT3G14470	AT3G14470.1	GO:0000166	nucleotide binding	NP_001319549.1
AT3G14470	AT3G14470.1	GO:0005524	ATP binding	NP_001319549.1
AT3G14470	AT3G14470.1	GO:0043531	ADP binding	NP_001319549.1
AT3G14470	AT3G14470.1	GO:0006952	defense response	NP_001319549.1
AT3G14470	AT3G14470.1	GO:0005515	protein binding	NP_001319549.1
AT4G03400	AT4G03400.1	GO:0016874	ligase activity	NP_001319858.1
AT4G03400	AT4G03400.1	GO:0009507	chloroplast	NP_001319858.1
AT4G03400	AT4G03400.1	GO:0009416	response to light stimulus	NP_001319858.1
AT4G03400	AT4G03400.1	GO:0005737	cytoplasm	NP_001319858.1
AT4G03400	AT4G03400.1	GO:0016881	acid-amino acid ligase activity	NP_001319858.1
AT4G03400	AT4G03400.2	GO:0016874	ligase activity	NP_001319858.1
AT4G03400	AT4G03400.2	GO:0009507	chloroplast	NP_001319858.1
AT4G03400	AT4G03400.2	GO:0009416	response to light stimulus	NP_001319858.1
AT4G03400	AT4G03400.2	GO:0005737	cytoplasm	NP_001319858.1
AT4G03400	AT4G03400.2	GO:0016881	acid-amino acid ligase activity	NP_001319858.1
AT4G33420	AT4G33420.1	GO:0009505	plant-type cell wall	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0009506	plasmodesma	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0098869	cellular oxidant detoxification	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0046872	metal ion binding	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0016020	membrane	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0016021	integral component of membrane	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0016491	oxidoreductase activity	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0055114	oxidation-reduction process	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0005576	extracellular region	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0020037	heme binding	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0004601	peroxidase activity	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0006979	response to oxidative stress	NP_001320124.1
AT4G33420	AT4G33420.1	GO:0042744	hydrogen peroxide catabolic process	NP_001320124.1
AT1G23540	AT1G23540.2	GO:0016020	membrane	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0016021	integral component of membrane	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0005524	ATP binding	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0016301	kinase activity	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0016310	phosphorylation	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0004672	protein kinase activity	NP_001320243.1
AT1G23540	AT1G23540.2	GO:0006468	protein phosphorylation	NP_001320243.1
AT1G06770	AT1G06770.3			NP_001321540.1
AT1G67820	AT1G67820.2	GO:0046872	metal ion binding	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0003824	catalytic activity	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0016787	hydrolase activity	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0004721	phosphoprotein phosphatase activity	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0004722	protein serine/threonine phosphatase activity	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0043169	cation binding	NP_001321567.1
AT1G67820	AT1G67820.2	GO:0006470	protein dephosphorylation	NP_001321567.1
AT1G61400	AT1G61400.2	GO:0016740	transferase activity	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0016020	membrane	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0016021	integral component of membrane	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0000166	nucleotide binding	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0005524	ATP binding	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0016301	kinase activity	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0016310	phosphorylation	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0004672	protein kinase activity	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0006468	protein phosphorylation	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0004674	protein serine/threonine kinase activity	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0030246	carbohydrate binding	NP_001322986.1
AT1G61400	AT1G61400.2	GO:0048544	recognition of pollen	NP_001322986.1
AT2G38460	AT2G38460.6	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.6	GO:0006826	iron ion transport	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.1	GO:0006826	iron ion transport	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.4	GO:0006826	iron ion transport	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.7	GO:0006826	iron ion transport	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.8	GO:0006826	iron ion transport	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0016020	membrane	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0016021	integral component of membrane	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0006811	ion transport	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0005886	plasma membrane	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0005381	iron ion transmembrane transporter activity	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0034755	iron ion transmembrane transport	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0006824	cobalt ion transport	NP_001323535.1
AT2G38460	AT2G38460.3	GO:0006826	iron ion transport	NP_001323535.1
AT2G31600	AT2G31600.6	GO:0000123	histone acetyltransferase complex	NP_001324027.1
AT2G31600	AT2G31600.2	GO:0000123	histone acetyltransferase complex	NP_001324027.1
AT2G07641	AT2G07641.1	GO:0005739	mitochondrion	NP_001324406.1
AT2G25070	AT2G25070.2	GO:0046872	metal ion binding	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0003824	catalytic activity	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0016787	hydrolase activity	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0005886	plasma membrane	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0004721	phosphoprotein phosphatase activity	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0004722	protein serine/threonine phosphatase activity	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0043169	cation binding	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0006470	protein dephosphorylation	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0005773	vacuole	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0009737	response to abscisic acid	NP_001324497.1
AT2G25070	AT2G25070.2	GO:0004724	magnesium-dependent protein serine/threonine phosphatase activity	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0046872	metal ion binding	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0003824	catalytic activity	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0016787	hydrolase activity	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0005886	plasma membrane	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0004721	phosphoprotein phosphatase activity	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0004722	protein serine/threonine phosphatase activity	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0043169	cation binding	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0006470	protein dephosphorylation	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0005773	vacuole	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0009737	response to abscisic acid	NP_001324497.1
AT2G25070	AT2G25070.1	GO:0004724	magnesium-dependent protein serine/threonine phosphatase activity	NP_001324497.1
AT2G32250	AT2G32250.7	GO:0006355	regulation of transcription, DNA-templated	NP_001324561.1
AT2G32250	AT2G32250.7	GO:0008270	zinc ion binding	NP_001324561.1
AT2G44065	AT2G44065.2	GO:0032543	mitochondrial translation	NP_001325084.1
AT2G44065	AT2G44065.2	GO:0005762	mitochondrial large ribosomal subunit	NP_001325084.1
AT2G44065	AT2G44065.2	GO:0003735	structural constituent of ribosome	NP_001325084.1
AT2G44065	AT2G44065.2	GO:0006412	translation	NP_001325084.1
AT2G44065	AT2G44065.2	GO:0005840	ribosome	NP_001325084.1
AT2G44065	AT2G44065.2	GO:0003723	RNA binding	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0032543	mitochondrial translation	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0005762	mitochondrial large ribosomal subunit	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0003735	structural constituent of ribosome	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0006412	translation	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0005840	ribosome	NP_001325084.1
AT2G44065	AT2G44065.1	GO:0003723	RNA binding	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0032543	mitochondrial translation	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0005762	mitochondrial large ribosomal subunit	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0003735	structural constituent of ribosome	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0006412	translation	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0005840	ribosome	NP_001325084.1
AT2G44065	AT2G44065.3	GO:0003723	RNA binding	NP_001325084.1
AT3G24495	AT3G24495.2	GO:0005524	ATP binding	NP_001326470.1
AT3G24495	AT3G24495.2	GO:0030983	mismatched DNA binding	NP_001326470.1
AT3G24495	AT3G24495.2	GO:0006298	mismatch repair	NP_001326470.1
AT3G60050	AT3G60050.1	GO:0003674	molecular_function	NP_001326964.1
AT3G60050	AT3G60050.1	GO:0005739	mitochondrion	NP_001326964.1
AT3G60050	AT3G60050.1	GO:0005515	protein binding	NP_001326964.1
AT3G60050	AT3G60050.2	GO:0003674	molecular_function	NP_001326964.1
AT3G60050	AT3G60050.2	GO:0005739	mitochondrion	NP_001326964.1
AT3G60050	AT3G60050.2	GO:0005515	protein binding	NP_001326964.1
AT3G49400	AT3G49400.4	GO:0005515	protein binding	NP_001327046.1
AT4G37910	AT4G37910.2	GO:0034620	cellular response to unfolded protein	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0006986	response to unfolded protein	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0044183	protein folding chaperone	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0051787	misfolded protein binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0051085	chaperone cofactor-dependent protein refolding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0034605	cellular response to heat	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0009735	response to cytokinin	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0046686	response to cadmium ion	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0000166	nucleotide binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005524	ATP binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005739	mitochondrion	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005829	cytosol	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005886	plasma membrane	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005737	cytoplasm	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0006457	protein folding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0051082	unfolded protein binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005774	vacuolar membrane	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005618	cell wall	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0008270	zinc ion binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0005515	protein binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0016887	ATPase activity	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0031072	heat shock protein binding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0042026	protein refolding	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0042623	ATPase activity, coupled	NP_001328002.1
AT4G37910	AT4G37910.2	GO:0009651	response to salt stress	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0034620	cellular response to unfolded protein	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0006986	response to unfolded protein	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0044183	protein folding chaperone	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0051787	misfolded protein binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0051085	chaperone cofactor-dependent protein refolding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0034605	cellular response to heat	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0009735	response to cytokinin	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0046686	response to cadmium ion	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0000166	nucleotide binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005524	ATP binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005739	mitochondrion	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005829	cytosol	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005886	plasma membrane	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005737	cytoplasm	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0006457	protein folding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0051082	unfolded protein binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005774	vacuolar membrane	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005618	cell wall	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0008270	zinc ion binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0005515	protein binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0016887	ATPase activity	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0031072	heat shock protein binding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0042026	protein refolding	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0042623	ATPase activity, coupled	NP_001328002.1
AT4G37910	AT4G37910.1	GO:0009651	response to salt stress	NP_001328002.1
AT4G23160	AT4G23160.2	GO:0000943	retrotransposon nucleocapsid	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0006278	RNA-dependent DNA biosynthetic process	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0003676	nucleic acid binding	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016740	transferase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0046872	metal ion binding	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016020	membrane	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016021	integral component of membrane	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016787	hydrolase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0005524	ATP binding	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016301	kinase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0016310	phosphorylation	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0004190	aspartic-type endopeptidase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0008233	peptidase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0006508	proteolysis	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0004672	protein kinase activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0006468	protein phosphorylation	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0008270	zinc ion binding	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0015074	DNA integration	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0090305	nucleic acid phosphodiester bond hydrolysis	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0004518	nuclease activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0004519	endonuclease activity	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0006310	DNA recombination	NP_001328700.1
AT4G23160	AT4G23160.2	GO:0003964	RNA-directed DNA polymerase activity	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0000943	retrotransposon nucleocapsid	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0003676	nucleic acid binding	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0016020	membrane	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0016021	integral component of membrane	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0006508	proteolysis	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0005524	ATP binding	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0016301	kinase activity	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0016310	phosphorylation	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0004672	protein kinase activity	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0006468	protein phosphorylation	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0008270	zinc ion binding	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0015074	DNA integration	NP_001328700.1
AT4G23160	AT4G23160.3	GO:0008234	cysteine-type peptidase activity	NP_001328700.1
AT4G15570	AT4G15570.1	GO:0009875	pollen-pistil interaction	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0009553	embryo sac development	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0000166	nucleotide binding	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0005524	ATP binding	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0016787	hydrolase activity	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0005634	nucleus	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0004386	helicase activity	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0003723	RNA binding	NP_001329005.1
AT4G15570	AT4G15570.1	GO:0010183	pollen tube guidance	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0009875	pollen-pistil interaction	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0009553	embryo sac development	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0000166	nucleotide binding	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0005524	ATP binding	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0016787	hydrolase activity	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0005634	nucleus	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0004386	helicase activity	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0003723	RNA binding	NP_001329005.1
AT4G15570	AT4G15570.3	GO:0010183	pollen tube guidance	NP_001329005.1
AT4G24680	AT4G24680.4			NP_001329060.1
AT4G17770	AT4G17770.2	GO:0016757	transferase activity, transferring glycosyl groups	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0016740	transferase activity	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0003824	catalytic activity	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0005992	trehalose biosynthetic process	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0016787	hydrolase activity	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0016311	dephosphorylation	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0004805	trehalose-phosphatase activity	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0005737	cytoplasm	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0005829	cytosol	NP_001329809.1
AT4G17770	AT4G17770.2	GO:0070413	trehalose metabolism in response to stress	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0016757	transferase activity, transferring glycosyl groups	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0016740	transferase activity	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0003824	catalytic activity	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0005992	trehalose biosynthetic process	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0016311	dephosphorylation	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0005737	cytoplasm	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0005829	cytosol	NP_001329809.1
AT4G17770	AT4G17770.1	GO:0070413	trehalose metabolism in response to stress	NP_001329809.1
AT5G22730	AT5G22730.2	GO:0005515	protein binding	NP_001331118.1
AT5G57050	AT5G57050.3	GO:0046872	metal ion binding	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0003824	catalytic activity	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0016787	hydrolase activity	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0004721	phosphoprotein phosphatase activity	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0004722	protein serine/threonine phosphatase activity	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0043169	cation binding	NP_001331640.1
AT5G57050	AT5G57050.3	GO:0006470	protein dephosphorylation	NP_001331640.1
AT5G06770	AT5G06770.4	GO:0003676	nucleic acid binding	NP_001332009.1
AT5G06770	AT5G06770.4	GO:0046872	metal ion binding	NP_001332009.1
